row,genes,reactions
10,b1134,rxn07971;rxn00436
11,b0446,rxn07971
12,b0180,rxn07976;rxn05330;rxn07977;rxn05331;rxn07979;rxn07978;rxn05334;rxn07981;rxn05335;rxn05332;rxn07980;rxn05333
13,b0954,rxn07976;rxn05330;rxn07977;rxn09280;rxn05331;rxn07979;rxn07978;rxn05334;rxn07981;rxn05335;rxn05332;rxn07980;rxn05333
14,b0347,rxn04601;rxn04602
15,b3580,rxn04930;rxn01389
16,b1093,rxn07994;rxn05342;rxn05340;rxn07989;rxn05336;rxn07991;rxn07987;rxn07993;rxn05341;rxn05337;rxn05338;rxn07992
17,b2323,rxn07997;rxn05348;rxn08000;rxn05345;rxn05346;rxn05347;rxn08001;rxn05350;rxn08861;rxn05344;rxn07998;rxn05343
18,b1095,rxn05348;rxn05345;rxn05346;rxn05347;rxn08001;rxn08002;rxn05350;rxn05344;rxn05343
19,b1244;b1245;b1246;b1247;b1329,rxn08003
20,b1386,rxn02993;rxn01715;rxn01903
21,b0004,rxn01069;rxn03446
22,b1192,rxn08007;rxn09359;rxn08125;rxn08077
23,b1243;b1244;b1245;b1246;b1247,rxn08008
24,b4266,rxn01278
25,b4265,rxn08011;rxn08742;rxn05571
26,b0159,rxn08013;rxn01021;rxn00143
27,b2708,rxn01117
28,b3197,rxn01117
29,b1094;b2836,rxn08014;rxn08015;rxn08019;rxn08021;rxn08020;rxn08017;rxn08018;rxn08022;rxn08016
30,b4481,rxn08023
31,b1927,rxn09952
32,b3571,rxn08024
33,b2901,rxn08025
34,b1302,rxn01204
35,b2662,rxn01204
36,b1444,rxn01851
37,b2663,rxn05564
38,b2221;b2222,rxn00875;rxn08733;rxn00990
39,b2224,rxn00178
40,b2223,rxn05683;rxn08714;rxn05484
41,b0351,rxn00171
42,b1241,rxn00171;rxn00543
