,fluxes
rxn05561_c0,0.0
rxn00935_c0,0.0
rxn00247_c0,0.0
rxn05625_c0,0.0
rxn02342_c0,0.0
rxn01452_c0,0.0
rxn00973_c0,0.725944752714236
rxn10118_c0,0.0
rxn00199_c0,0.7323563729702894
rxn00545_c0,4.410770737706331
rxn10126_c0,0.0
rxn05040_c0,0.0
rxn08556_c0,0.0
rxn01806_c0,0.0
rxn06493_c0,0.0
rxn02376_c0,0.0
rxn00568_c0,0.0
rxn00762_c0,-0.14232416136212844
rxn08971_c0,2.3826744538889173
rxn00225_c0,0.0
rxn00148_c0,0.0
rxn00781_c0,7.96160526008182
rxn05319_c0,4.5121857649020285
rxn00171_c0,1.1040971289644572
rxn00178_c0,0.0
rxn10125_c0,0.0
rxn00549_c0,0.0
rxn02380_c0,0.0
rxn05938_c0,-1.0898463902712
rxn05581_c0,0.0
rxn00336_c0,0.0
rxn05145_c0,0.0
rxn01872_c0,0.0
rxn00248_c0,-2.492143835183139
rxn00499_c0,0.0
rxn00392_c0,0.004274413504035635
rxn00747_c0,-4.264172162840167
rxn01334_c0,0.0
rxn03884_c0,0.0
rxn03240_c0,0.0
rxn00147_c0,0.0
rxn00777_c0,-0.282317791447466
rxn02314_c0,0.0
rxn00251_c0,-3.218088587897375
rxn00285_c0,0.5222080988423499
rxn04794_c0,0.0
rxn01871_c0,0.0
rxn00875_c0,0.0
rxn05488_c0,0.0
rxn00786_c0,4.410770737706331
rxn01100_c0,-7.96160526008182
rxn00102_c0,-2.430455115402401
rxn00512_c0,0.0
rxn10114_c0,0.0
rxn08527_c0,0.0
rxn00173_c0,0.0
rxn10122_c0,0.0
rxn00500_c0,0.0
rxn00994_c0,0.0
rxn01477_c0,0.0
rxn01123_c0,0.0
rxn08557_c0,0.0
rxn01116_c0,-0.3394629659651257
rxn00670_c0,0.0
rxn01870_c0,0.0
rxn08901_c0,0.0
rxn01106_c0,-7.96160526008182
rxn00616_c0,0.0
rxn10042_c0,11.355636121614982
rxn00543_c0,0.0
rxn00160_c0,0.0
rxn00265_c0,0.0
rxn05602_c0,0.0
rxn01476_c0,0.0
rxn01333_c0,-0.07757681437631991
rxn03978_c0,0.0
rxn00159_c0,0.0
rxn00799_c0,2.492143835183139
rxn00011_c0,-0.558440674634006
rxn00602_c0,0.0
rxn05528_c0,0.0
rxn08975_c0,0.0
rxn05559_c0,0.0
rxn00459_c0,7.96160526008182
rxn00770_c0,0.5038652259022127
rxn05209_c0,0.0
rxn00175_c0,0.39841124012677165
rxn10121_c0,0.0
rxn10120_c0,0.0
rxn01387_c0,0.7323563729702894
rxn01115_c0,0.0
rxn00161_c0,0.0
rxn00371_c0,0.0
rxn08655_c0,0.0
rxn03249_c0,0.0
rxn09272_c0,0.0
rxn05226_c0,5.0
rxn00615_c0,0.1660448549224832
rxn00569_c0,0.0
rxn00083_c0,0.0
rxn00874_c0,0.0
rxn05627_c0,0.0
rxn05313_c0,0.0
rxn00785_c0,0.33807971761235267
rxn00216_c0,-29.259198151344
rxn00558_c0,4.904758042470567
rxn08178_c0,0.0
rxn00077_c0,0.002137206752017562
rxn01388_c0,-0.006411620256053463
rxn01480_c0,0.0
rxn01200_c0,0.001383248352773661
rxn01241_c0,0.0
rxn00288_c0,0.0
rxn00763_c0,0.0
rxn01275_c0,0.0
rxn08656_c0,0.006411620256053463
rxn00122_c0,0.0021372067520178174
rxn00985_c0,0.0
rxn08094_c0,0.0
rxn08179_c0,0.0
rxn05468_c0,1.2920616104486926
rxn00974_c0,0.0
rxn00256_c0,-0.725944752714236
rxn02167_c0,0.0
rxn00441_c0,0.0
rxn03250_c0,0.0
rxn00623_c0,-0.17135839433507039
rxn06526_c0,0.0
rxn05937_c0,17.12322029645965
rxn00990_c0,0.0
rxn01343_c0,0.0
rxn00224_c0,0.0021372067520178174
rxn00604_c0,0.0
rxn00157_c0,-1.3534217851548158
rxn05467_c0,0.0
rxn00330_c0,0.0
rxn14427_c0,0.0
rxn02201_c0,0.0
rxn00351_c0,0.0
rxn00836_c0,0.0
rxn05318_c0,0.0
rxn01094_c0,0.0
rxn08709_c0,0.019048391505886563
rxn00423_c0,0.16815258420704365
rxn00364_c0,0.41285321737225855
rxn03408_c0,0.019048391505886563
rxn02177_c0,0.0
rxn05250_c0,0.0
rxn00646_c0,0.0
rxn05440_c0,0.0
rxn01673_c0,0.012396671108793422
rxn05156_c0,0.0
rxn00642_c0,0.0
rxn00022_c0,0.0
rxn02000_c0,0.019048391505886563
rxn00322_c0,0.0
rxn05457_c0,0.0
rxn00107_c0,0.0
rxn13783_c0,0.7616128061421438
rxn08934_c0,-0.019048391505886563
rxn04600_c0,0.0
rxn07966_c0,0.0
rxn04070_c0,0.0
rxn01358_c0,0.0
rxn10231_c0,0.0
rxn02944_c0,0.0
rxn01867_c0,0.0
rxn10270_c0,0.0
rxn12637_c0,0.0
rxn09240_c0,0.0
rxn01219_c0,0.0
rxn05958_c0,0.0
rxn09231_c0,0.0
rxn00800_c0,0.1712460967660303
rxn08333_c0,0.004274413504035644
rxn08172_c0,0.0
